Date,Argentina
2/13/2005,98
2/20/2005,94
2/27/2005,101
3/6/2005,97
3/13/2005,106
3/20/2005,137
3/27/2005,145
4/3/2005,154
4/10/2005,162
4/17/2005,192
4/24/2005,189
5/1/2005,183
5/8/2005,199
5/15/2005,193
5/22/2005,205
5/29/2005,198
6/5/2005,196
6/12/2005,197
6/19/2005,246
6/26/2005,264
7/3/2005,273
7/10/2005,234
7/17/2005,237
7/24/2005,227
7/31/2005,210
8/7/2005,202
8/14/2005,208
8/21/2005,234
8/28/2005,218
9/4/2005,188
9/11/2005,195
9/18/2005,194
9/25/2005,230
10/2/2005,191
10/9/2005,174
10/16/2005,200
10/23/2005,165
10/30/2005,169
11/6/2005,162
11/13/2005,151
11/20/2005,147
11/27/2005,133
12/4/2005,112
12/11/2005,99
12/18/2005,94
12/25/2005,82
1/1/2006,87
1/8/2006,85
1/15/2006,91
1/22/2006,83
1/29/2006,105
2/5/2006,97
2/12/2006,90
2/19/2006,91
2/26/2006,95
3/5/2006,109
3/12/2006,120
3/19/2006,121
3/26/2006,143
4/2/2006,169
4/9/2006,130
4/16/2006,152
4/23/2006,166
4/30/2006,185
5/7/2006,172
5/14/2006,183
5/21/2006,205
5/28/2006,207
6/4/2006,211
6/11/2006,219
6/18/2006,223
6/25/2006,243
7/2/2006,232
7/9/2006,261
7/16/2006,272
7/23/2006,252
7/30/2006,215
8/6/2006,238
8/13/2006,228
8/20/2006,250
8/27/2006,271
9/3/2006,234
9/10/2006,234
9/17/2006,232
9/24/2006,227
10/1/2006,200
10/8/2006,191
10/15/2006,182
10/22/2006,167
10/29/2006,174
11/5/2006,160
11/12/2006,180
11/19/2006,165
11/26/2006,141
12/3/2006,109
12/10/2006,109
12/17/2006,93
12/24/2006,87
12/31/2006,80
1/7/2007,82
1/14/2007,94
1/21/2007,100
1/28/2007,106
2/4/2007,108
2/11/2007,104
2/18/2007,111
2/25/2007,102
3/4/2007,98
3/11/2007,118
3/18/2007,125
3/25/2007,131
4/1/2007,129
4/8/2007,138
4/15/2007,158
4/22/2007,180
4/29/2007,182
5/6/2007,219
5/13/2007,265
5/20/2007,319
5/27/2007,339
6/3/2007,380
6/10/2007,373
6/17/2007,344
6/24/2007,372
7/1/2007,379
7/8/2007,339
7/15/2007,379
7/22/2007,346
7/29/2007,285
8/5/2007,293
8/12/2007,287
8/19/2007,256
8/26/2007,269
9/2/2007,239
9/9/2007,188
9/16/2007,175
9/23/2007,191
9/30/2007,180
10/7/2007,171
10/14/2007,162
10/21/2007,171
10/28/2007,174
11/4/2007,165
11/11/2007,152
11/18/2007,149
11/25/2007,144
12/2/2007,123
12/9/2007,108
12/16/2007,96
12/23/2007,91
12/30/2007,78
1/6/2008,93
1/13/2008,89
1/20/2008,93
1/27/2008,89
2/3/2008,89
2/10/2008,91
2/17/2008,97
2/24/2008,98
3/2/2008,92
3/9/2008,126
3/16/2008,151
3/23/2008,145
3/30/2008,150
4/6/2008,161
4/13/2008,174
4/20/2008,188
4/27/2008,173
5/4/2008,186
5/11/2008,197
5/18/2008,210
5/25/2008,217
6/1/2008,266
6/8/2008,343
6/15/2008,381
6/22/2008,411
6/29/2008,372
7/6/2008,371
7/13/2008,319
7/20/2008,261
7/27/2008,216
8/3/2008,201
8/10/2008,220
8/17/2008,210
8/24/2008,206
8/31/2008,193
9/7/2008,191
9/14/2008,189
9/21/2008,190
9/28/2008,179
10/5/2008,182
10/12/2008,157
10/19/2008,162
10/26/2008,154
11/2/2008,154
11/9/2008,138
11/16/2008,133
11/23/2008,112
11/30/2008,102
12/7/2008,102
12/14/2008,102
12/21/2008,84
12/28/2008,89
1/4/2009,98
1/11/2009,88
1/18/2009,90
1/25/2009,89
2/1/2009,88
2/8/2009,86
2/15/2009,84
2/22/2009,91
3/1/2009,89
3/8/2009,98
3/15/2009,119
3/22/2009,118
3/29/2009,113
4/5/2009,117
4/12/2009,129
4/19/2009,138
4/26/2009,154
5/3/2009,166
5/10/2009,164
5/17/2009,166
5/24/2009,190
5/31/2009,232
6/7/2009,308
6/14/2009,399
6/21/2009,431
6/28/2009,442
7/5/2009,324
7/12/2009,238
7/19/2009,158
7/26/2009,170
8/2/2009,153
8/9/2009,149
8/16/2009,159
8/23/2009,166
8/30/2009,150
9/6/2009,144
9/13/2009,145
9/20/2009,145
9/27/2009,149
10/4/2009,142
10/11/2009,144
10/18/2009,141
10/25/2009,141
11/1/2009,125
11/8/2009,123
11/15/2009,117
11/22/2009,97
11/29/2009,88
12/6/2009,83
12/13/2009,87
12/20/2009,63
12/27/2009,64
1/3/2010,62
1/10/2010,62
1/17/2010,67
1/24/2010,67
1/31/2010,65
2/7/2010,70
2/14/2010,68
2/21/2010,71
2/28/2010,70
3/7/2010,71
3/14/2010,92
3/21/2010,98
3/28/2010,95
4/4/2010,109
4/11/2010,114
4/18/2010,127
4/25/2010,142
5/2/2010,134
5/9/2010,163
5/16/2010,180
5/23/2010,186
5/30/2010,186
6/6/2010,196
6/13/2010,210
6/20/2010,207
6/27/2010,211
7/4/2010,187
7/11/2010,200
7/18/2010,185
7/25/2010,192
8/1/2010,175
8/8/2010,194
8/15/2010,187
8/22/2010,181
8/29/2010,165
9/5/2010,153
9/12/2010,143
9/19/2010,138
9/26/2010,150
10/3/2010,155
10/10/2010,146
10/17/2010,154
10/24/2010,145
10/31/2010,149
11/7/2010,133
11/14/2010,139
11/21/2010,124
11/28/2010,106
12/5/2010,91
12/12/2010,90
12/19/2010,71
12/26/2010,70
1/2/2011,67
1/9/2011,63
1/16/2011,62
1/23/2011,65
1/30/2011,67
2/6/2011,67
2/13/2011,67
2/20/2011,62
2/27/2011,62
3/6/2011,61
3/13/2011,77
3/20/2011,89
3/27/2011,104
4/3/2011,106
4/10/2011,107
4/17/2011,99
4/24/2011,115
5/1/2011,120
5/8/2011,126
5/15/2011,134
5/22/2011,137
5/29/2011,154
6/5/2011,162
6/12/2011,173
6/19/2011,160
6/26/2011,179
7/3/2011,190
7/10/2011,189
7/17/2011,165
7/24/2011,146
7/31/2011,144
8/7/2011,140
8/14/2011,134
8/21/2011,152
8/28/2011,147
9/4/2011,145
9/11/2011,116
9/18/2011,100
9/25/2011,95
10/2/2011,88
10/9/2011,81
10/16/2011,89
10/23/2011,91
10/30/2011,92
11/6/2011,85
11/13/2011,85
11/20/2011,77
11/27/2011,68
12/4/2011,62
12/11/2011,62
12/18/2011,56
12/25/2011,57
1/1/2012,58
1/8/2012,55
1/15/2012,56
1/22/2012,57
1/29/2012,56
2/5/2012,56
2/12/2012,54
2/19/2012,57
2/26/2012,63
3/4/2012,64
3/11/2012,72
3/18/2012,79
3/25/2012,92
4/1/2012,86
4/8/2012,96
4/15/2012,93
4/22/2012,98
4/29/2012,108
5/6/2012,121
5/13/2012,132
5/20/2012,143
5/27/2012,160
6/3/2012,184
6/10/2012,200
6/17/2012,191
6/24/2012,197
7/1/2012,171
7/8/2012,166
7/15/2012,152
7/22/2012,157
7/29/2012,148
8/5/2012,144
8/12/2012,147
8/19/2012,159
8/26/2012,168
9/2/2012,166
9/9/2012,175
9/16/2012,164
9/23/2012,161
9/30/2012,147
10/7/2012,141
10/14/2012,132
10/21/2012,122
10/28/2012,118
11/4/2012,102
11/11/2012,105
11/18/2012,98
11/25/2012,93
12/2/2012,84
12/9/2012,79
12/16/2012,76
12/23/2012,75
12/30/2012,77
1/6/2013,70
1/13/2013,72
1/20/2013,71
1/27/2013,69
2/3/2013,78
2/10/2013,77
2/17/2013,75
2/24/2013,78
3/3/2013,76
3/10/2013,84
3/17/2013,107
3/24/2013,113
3/31/2013,94
4/7/2013,103
4/14/2013,106
4/21/2013,105
4/28/2013,95
5/5/2013,109
5/12/2013,128
5/19/2013,156
5/26/2013,180
